,heads,relations,tails
0,GO:0000001,is_a,GO:0048308
1,GO:0000001,is_a,GO:0048311
2,GO:0000002,is_a,GO:0007005
3,GO:0000003,is_a,GO:0008150
4,GO:0000006,is_a,GO:0005385
5,GO:0000007,is_a,GO:0005385
6,GO:0000009,is_a,GO:0000030
7,GO:0000010,is_a,GO:0004659
8,GO:0000011,is_a,GO:0048308
9,GO:0000011,is_a,GO:0007033
10,GO:0000012,is_a,GO:0006281
11,GO:0000014,is_a,GO:0004520
12,GO:0000015,is_a,GO:1902494
13,GO:0000015,part_of,GO:0005829
14,GO:0000016,is_a,GO:0004553
15,GO:0000017,is_a,GO:0042946
16,GO:0000018,is_a,GO:0051052
17,GO:0000018,regulates,GO:0006310
18,GO:0000019,is_a,GO:0000018
19,GO:0000019,regulates,GO:0006312
20,GO:0000022,is_a,GO:0051231
21,GO:0000022,is_a,GO:1903047
22,GO:0000022,part_of,GO:0000070
23,GO:0000022,part_of,GO:0007052
24,GO:0000023,is_a,GO:0005984
25,GO:0000024,is_a,GO:0046351
26,GO:0000024,is_a,GO:0000023
27,GO:0000025,is_a,GO:0000023
28,GO:0000025,is_a,GO:0046352
29,GO:0000026,is_a,GO:0000030
30,GO:0000027,is_a,GO:0022618
31,GO:0000027,part_of,GO:0042255
32,GO:0000027,part_of,GO:0042273
33,GO:0000028,is_a,GO:0022618
34,GO:0000028,part_of,GO:0042255
35,GO:0000028,part_of,GO:0042274
36,GO:0000030,is_a,GO:0016758
37,GO:0000031,is_a,GO:0016758
38,GO:0000032,is_a,GO:0031506
39,GO:0000032,is_a,GO:0006057
40,GO:0000033,is_a,GO:0000030
41,GO:0000034,is_a,GO:0019239
42,GO:0000034,is_a,GO:0016814
43,GO:0000035,is_a,GO:0005488
44,GO:0000036,is_a,GO:0044620
45,GO:0000036,is_a,GO:0140414
46,GO:0000038,is_a,GO:0006631
47,GO:0000041,is_a,GO:0030001
48,GO:0000045,is_a,GO:0070925
49,GO:0000045,is_a,GO:1905037
50,GO:0000048,is_a,GO:0016755
51,GO:0000048,is_a,GO:0140096
52,GO:0000048,is_a,GO:0140101
53,GO:0000049,is_a,GO:0003723
54,GO:0000050,is_a,GO:0043604
55,GO:0000050,is_a,GO:1901566
56,GO:0000050,is_a,GO:0019627
57,GO:0000052,is_a,GO:1901605
58,GO:0000053,is_a,GO:1901605
59,GO:0000053,is_a,GO:0072350
60,GO:0000053,is_a,GO:0006575
61,GO:0000054,is_a,GO:0031503
62,GO:0000054,is_a,GO:0051168
63,GO:0000054,is_a,GO:0051656
64,GO:0000054,is_a,GO:0033750
65,GO:0000054,part_of,GO:0042254
66,GO:0000055,is_a,GO:0000054
67,GO:0000056,is_a,GO:0000054
68,GO:0000062,is_a,GO:0120227
69,GO:0000062,is_a,GO:1901567
70,GO:0000064,is_a,GO:0015179
71,GO:0000070,is_a,GO:0000819
72,GO:0000070,is_a,GO:1903047
73,GO:0000070,part_of,GO:0140014
74,GO:0000073,is_a,GO:0110100
75,GO:0000073,is_a,GO:1903047
76,GO:0000073,part_of,GO:0061804
77,GO:0000073,part_of,GO:1905047
78,GO:0000075,is_a,GO:1901988
79,GO:0000075,is_a,GO:0035556
80,GO:0000076,is_a,GO:0031570
81,GO:0000077,is_a,GO:0031570
82,GO:0000077,is_a,GO:0042770
83,GO:0000079,is_a,GO:1904029
84,GO:0000079,is_a,GO:0071900
85,GO:0000080,is_a,GO:0051318
86,GO:0000080,part_of,GO:0051329
87,GO:0000082,is_a,GO:0044843
88,GO:0000082,is_a,GO:0044772
89,GO:0000084,is_a,GO:0051320
90,GO:0000084,part_of,GO:0051329
91,GO:0000085,is_a,GO:0051319
92,GO:0000085,part_of,GO:0051329
93,GO:0000086,is_a,GO:0044772
94,GO:0000086,is_a,GO:0044839
95,GO:0000087,is_a,GO:0000279
96,GO:0000087,is_a,GO:0098763
97,GO:0000088,is_a,GO:0051324
98,GO:0000088,part_of,GO:0000087
99,GO:0000089,is_a,GO:0051323
100,GO:0000089,part_of,GO:0000087
101,GO:0000090,is_a,GO:0051322
102,GO:0000090,part_of,GO:0000087
103,GO:0000091,is_a,GO:0000090
104,GO:0000092,is_a,GO:0000090
105,GO:0000093,is_a,GO:0051326
106,GO:0000093,part_of,GO:0000087
107,GO:0000095,is_a,GO:0015101
108,GO:0000095,is_a,GO:1901682
109,GO:0000096,is_a,GO:0006790
110,GO:0000096,is_a,GO:0019752
111,GO:0000096,is_a,GO:1901564
112,GO:0000097,is_a,GO:0044272
113,GO:0000097,is_a,GO:0046394
114,GO:0000097,is_a,GO:1901566
115,GO:0000097,is_a,GO:0000096
116,GO:0000098,is_a,GO:1901565
117,GO:0000098,is_a,GO:0000096
118,GO:0000098,is_a,GO:0044273
119,GO:0000098,is_a,GO:0046395
120,GO:0000099,is_a,GO:0015171
121,GO:0000099,is_a,GO:1901682
122,GO:0000100,is_a,GO:0072349
123,GO:0000100,is_a,GO:1901682
